Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
Joe Scarborough,Republican,1st,Florida,1995-01-03,2001-09-05,1995,2001,2437 days,6.676712328767123,104,1995,1997,0
Clay Shaw,Republican,22nd,Florida,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,104,1995,1997,2
Cliff Stearns,Republican,6th,Florida,1989-01-03,2013-01-03,1989,2013,8766 days,24.016438356164382,104,1995,1997,6
Karen Thurman,Democratic,5th,Florida,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Dave Weldon,Republican,15th,Florida,1995-01-03,2009-01-03,1995,2009,5114 days,14.01095890410959,104,1995,1997,0
Bill Young,Republican,10th,Florida,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Helen Chenoweth-Hage,Republican,1st,Idaho,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,104,1995,1997,0
Mike Crapo,Republican,2nd,Idaho,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Cardiss Collins,Democratic,7th,Illinois,1973-06-05,1997-01-03,1973,1997,8613 days,23.5972602739726,104,1995,1997,22
Jerry F. Costello,Democratic,12th,Illinois,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Philip M. Crane,Republican,8th,Illinois,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,104,1995,1997,2
Richard J. Durbin,Democratic,20th,Illinois,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Lane Evans,Democratic,17th,Illinois,1983-01-03,2007-01-03,1983,2007,8766 days,24.016438356164382,104,1995,1997,12
Thomas W. Ewing,Republican,15th,Illinois,1991-07-02,2001-01-03,1991,2001,3473 days,9.515068493150684,104,1995,1997,4
Harris W. Fawell,Republican,13th,Illinois,1985-01-03,1999-01-03,1985,1999,5113 days,14.008219178082191,104,1995,1997,10
Michael Patrick Flanagan,Republican,5th,Illinois,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Luis V. Gutierrez,Democratic,4th,Illinois,1993-01-03,2019-01-03,1993,2019,9496 days,26.016438356164382,104,1995,1997,2
J. Dennis Hastert,Republican,14th,Illinois,1987-01-03,2007-11-26,1987,2007,7632 days,20.90958904109589,104,1995,1997,8
Henry J. Hyde,Republican,6th,Illinois,1975-01-03,2007-01-03,1975,2007,11688 days,32.02191780821918,104,1995,1997,20
"Jesse Jackson, Jr.",Democratic,2nd,Illinois,1995-12-12,2012-11-21,1995,2012,6189 days,16.956164383561642,104,1995,1997,0
Ray LaHood,Republican,18th,Illinois,1995-01-03,2009-01-03,1995,2009,5114 days,14.01095890410959,104,1995,1997,0
Bill Lipinski,Democratic,3rd,Illinois,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,104,1995,1997,2
Donald A. Manzullo,Republican,16th,Illinois,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
John Edward Porter,Republican,10th,Illinois,1980-01-22,2001-01-03,1980,2001,7652 days,20.964383561643835,104,1995,1997,15
Glenn Poshard,Democratic,19th,Illinois,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Bobby Rush,Democratic,1st,Illinois,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,104,1995,1997,2
Jerry Weller,Republican,11th,Illinois,1995-01-03,2009-01-03,1995,2009,5114 days,14.01095890410959,104,1995,1997,0
Sidney R. Yates,Democratic,9th,Illinois,1965-01-03,1999-01-03,1965,1999,12418 days,34.02191780821918,104,1995,1997,30
Dan Burton,Republican,6th,Indiana,1983-01-03,2003-01-03,1983,2003,7305 days,20.013698630136986,104,1995,1997,12
Steve Buyer,Republican,5th,Indiana,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Lee Hamilton,Democratic,9th,Indiana,1965-01-03,1999-01-03,1965,1999,12418 days,34.02191780821918,104,1995,1997,30
John Hostettler,Republican,8th,Indiana,1995-01-03,2007-01-03,1995,2007,4383 days,12.008219178082191,104,1995,1997,0
Andrew Jacobs Jr.,Democratic,10th,Indiana,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
David M. McIntosh,Republican,2nd,Indiana,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,104,1995,1997,0
John T. Myers,Republican,7th,Indiana,1967-01-03,1997-01-03,1967,1997,10958 days,30.02191780821918,104,1995,1997,28
Tim Roemer,Democratic,3rd,Indiana,1991-01-03,2003-01-03,1991,2003,4383 days,12.008219178082191,104,1995,1997,4
Mark Souder,Republican,4th,Indiana,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Pete Visclosky,Democratic,1st,Indiana,1985-01-03,2021-01-03,1985,2021,13149 days,36.02465753424657,104,1995,1997,10
Greg Ganske,Republican,4th,Iowa,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Tom Latham,Republican,5th,Iowa,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Jim Leach,Republican,1st,Iowa,1977-01-03,2003-01-03,1977,2003,9496 days,26.016438356164382,104,1995,1997,18
Jim Ross Lightfoot,Republican,3rd,Iowa,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Jim Nussle,Republican,2nd,Iowa,1991-01-03,2003-01-03,1991,2003,4383 days,12.008219178082191,104,1995,1997,4
Scotty Baesler,Democratic,6th,Kentucky,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Jim Bunning,Republican,4th,Kentucky,1987-01-03,1999-01-03,1987,1999,4383 days,12.008219178082191,104,1995,1997,8
Ron Lewis,Republican,2nd,Kentucky,1994-05-24,2009-01-03,1994,2009,5338 days,14.624657534246575,104,1995,1997,1
Hal Rogers,Republican,5th,Kentucky,1981-01-03,2021-11-28,1981,2021,14939 days,40.92876712328767,104,1995,1997,14
Mike Ward,Democratic,3rd,Kentucky,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Ed Whitfield,Republican,1st,Kentucky,1995-01-03,2016-09-06,1995,2016,7917 days,21.69041095890411,104,1995,1997,0
Richard Baker,Republican,6th,Louisiana,1987-01-03,2008-02-02,1987,2008,7700 days,21.095890410958905,104,1995,1997,8
Cleo Fields,Democratic,4th,Louisiana,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Jimmy Hayes,Republican,7th,Louisiana,1995-12-01,1997-01-03,1995,1997,399 days,1.093150684931507,104,1995,1997,0
William J. Jefferson,Democratic,2nd,Louisiana,1991-01-03,2009-01-03,1991,2009,6575 days,18.013698630136986,104,1995,1997,4
Bob Livingston,Republican,1st,Louisiana,1977-08-27,1999-03-01,1977,1999,7856 days,21.523287671232875,104,1995,1997,18
Jim McCrery,Republican,5th,Louisiana,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Billy Tauzin,Republican,3rd,Louisiana,1995-08-08,2005-01-03,1995,2005,3436 days,9.413698630136986,104,1995,1997,0
Roscoe Bartlett,Republican,6th,Maryland,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Ben Cardin,Democratic,3rd,Maryland,1987-01-03,2007-01-03,1987,2007,7305 days,20.013698630136986,104,1995,1997,8
Bob Ehrlich,Republican,2nd,Maryland,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Wayne Gilchrest,Republican,1st,Maryland,1991-01-03,2009-01-03,1991,2009,6575 days,18.013698630136986,104,1995,1997,4
Steny Hoyer,Democratic,5th,Maryland,1981-05-19,2021-11-28,1981,2021,14803 days,40.556164383561644,104,1995,1997,14
Connie Morella,Republican,8th,Maryland,1987-01-03,2003-01-03,1987,2003,5844 days,16.01095890410959,104,1995,1997,8
Albert Wynn,Democratic,4th,Maryland,1993-01-03,2008-05-31,1993,2008,5627 days,15.416438356164383,104,1995,1997,2
Peter I. Blute,Republican,3rd,Massachusetts,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Barney Frank,Democratic,4th,Massachusetts,1981-01-03,2013-01-03,1981,2013,11688 days,32.02191780821918,104,1995,1997,14
Joseph P. Kennedy II,Democratic,8th,Massachusetts,1987-01-03,1999-01-03,1987,1999,4383 days,12.008219178082191,104,1995,1997,8
Ed Markey,Democratic,7th,Massachusetts,1976-11-02,2013-01-03,1976,2013,13211 days,36.1945205479452,104,1995,1997,19
Marty Meehan,Democratic,5th,Massachusetts,1993-01-03,2007-07-01,1993,2007,5292 days,14.498630136986302,104,1995,1997,2
John Joseph Moakley,Democratic,9th,Massachusetts,1973-01-03,2001-05-28,1973,2001,10372 days,28.416438356164385,104,1995,1997,22
Richard Neal,Democratic,2nd,Massachusetts,1989-01-03,2013-01-03,1989,2013,8766 days,24.016438356164382,104,1995,1997,6
John Olver,Democratic,1st,Massachusetts,1991-06-04,2013-01-03,1991,2013,7884 days,21.6,104,1995,1997,4
Gerry Studds,Democratic,10th,Massachusetts,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Peter Torkildsen,Republican,6th,Massachusetts,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
James A. Barcia,Democratic,5th,Michigan,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
David E. Bonior,Democratic,10th,Michigan,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Dave Camp,Republican,4th,Michigan,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,104,1995,1997,2
Dick Chrysler,Republican,8th,Michigan,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Barbara-Rose Collins,Democratic,15th,Michigan,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
John Conyers,Democratic,14th,Michigan,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
John Dingell,Democratic,16th,Michigan,1965-01-03,2003-01-03,1965,2003,13879 days,38.02465753424657,104,1995,1997,30
Vern Ehlers,Republican,3rd,Michigan,1993-12-07,2011-01-03,1993,2011,6236 days,17.084931506849315,104,1995,1997,2
Pete Hoekstra,Republican,2nd,Michigan,1993-01-03,2011-01-03,1993,2011,6574 days,18.01095890410959,104,1995,1997,2
Dale E. Kildee,Democratic,9th,Michigan,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Joe Knollenberg,Republican,11th,Michigan,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Sander M. Levin,Democratic,12th,Michigan,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Lynn N. Rivers,Democratic,13th,Michigan,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Nick Smith,Republican,7th,Michigan,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,104,1995,1997,2
Bart Stupak,Democratic,1st,Michigan,1993-01-03,2011-01-03,1993,2011,6574 days,18.01095890410959,104,1995,1997,2
Fred Upton,Republican,6th,Michigan,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,104,1995,1997,2
Gil Gutknecht,Republican,1st,Minnesota,1995-01-03,2007-01-03,1995,2007,4383 days,12.008219178082191,104,1995,1997,0
Bill Luther,Democratic–Farmer–Labor,6th,Minnesota,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
David Minge,Democratic–Farmer–Labor,2nd,Minnesota,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Jim Oberstar,Democratic–Farmer–Labor,8th,Minnesota,1975-01-03,2011-01-03,1975,2011,13149 days,36.02465753424657,104,1995,1997,20
Collin Peterson,Democratic–Farmer–Labor,7th,Minnesota,1991-01-03,2021-01-03,1991,2021,10958 days,30.02191780821918,104,1995,1997,4
Jim Ramstad,Republican,3rd,Minnesota,1991-01-03,2009-01-03,1991,2009,6575 days,18.013698630136986,104,1995,1997,4
Martin Olav Sabo,Democratic–Farmer–Labor,5th,Minnesota,1979-01-03,2007-01-03,1979,2007,10227 days,28.019178082191782,104,1995,1997,16
Bruce Vento,Democratic–Farmer–Labor,4th,Minnesota,1977-01-03,2000-10-10,1977,2000,8681 days,23.783561643835615,104,1995,1997,18
Sonny Montgomery,Democratic,3rd,Mississippi,1973-01-03,1997-01-03,1973,1997,8766 days,24.016438356164382,104,1995,1997,22
Michael Parker,Republican,4th,Mississippi,1995-11-10,1999-01-03,1995,1999,1150 days,3.1506849315068495,104,1995,1997,0
Gene Taylor,Democratic,5th,Mississippi,1989-10-17,2003-01-03,1989,2003,4826 days,13.221917808219178,104,1995,1997,6
Bennie Thompson,Democratic,2nd,Mississippi,1993-04-13,2021-11-28,1993,2021,10456 days,28.646575342465752,104,1995,1997,2
Roger Wicker,Republican,1st,Mississippi,1995-01-03,2007-12-31,1995,2007,4745 days,13.0,104,1995,1997,0
Bill Clay,Democratic,1st,Missouri,1969-01-03,2001-01-03,1969,2001,11688 days,32.02191780821918,104,1995,1997,26
Pat Danner,Democratic,6th,Missouri,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Dick Gephardt,Democratic,3rd,Missouri,1977-01-03,2005-01-03,1977,2005,10227 days,28.019178082191782,104,1995,1997,18
Mel Hancock,Republican,7th,Missouri,1989-01-03,1997-01-03,1989,1997,2922 days,8.005479452054795,104,1995,1997,6
Karen McCarthy,Democratic,5th,Missouri,1995-01-03,2005-01-03,1995,2005,3653 days,10.008219178082191,104,1995,1997,0
Ike Skelton,Democratic,4th,Missouri,1977-01-03,2011-01-03,1977,2011,12418 days,34.02191780821918,104,1995,1997,18
Jim Talent,Republican,2nd,Missouri,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Harold Volkmer,Democratic,9th,Missouri,1977-01-03,1997-01-03,1977,1997,7305 days,20.013698630136986,104,1995,1997,18
Pat Williams,Democratic,At-large,Montana,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Bill Barrett,Republican,3rd,Nebraska,1991-01-03,2001-01-03,1991,2001,3653 days,10.008219178082191,104,1995,1997,4
Doug Bereuter,Republican,1st,Nebraska,1979-01-03,2004-08-31,1979,2004,9372 days,25.676712328767124,104,1995,1997,16
Jon L. Christensen,Republican,2nd,Nebraska,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,104,1995,1997,0
Charlie Bass,Republican,2nd,New_Hampshire,1995-01-03,2007-01-03,1995,2007,4383 days,12.008219178082191,104,1995,1997,0
William Zeliff,Republican,1st,New_Hampshire,1991-01-03,1997-01-03,1991,1997,2192 days,6.005479452054795,104,1995,1997,4
Rob Andrews,Democratic,1st,New_Jersey,1990-01-01,2014-01-01,1990,2014,8766 days,24.016438356164382,104,1995,1997,5
Robert D. Franks,Republican,7th,New_Jersey,1993-01-01,2001-01-01,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Rodney Frelinghuysen,Republican,11th,New_Jersey,1995-01-01,2019-01-01,1995,2019,8766 days,24.016438356164382,104,1995,1997,0
Frank LoBiondo,Republican,2nd,New_Jersey,1995-01-01,2019-01-01,1995,2019,8766 days,24.016438356164382,104,1995,1997,0
William J. Martini,Republican,8th,New_Jersey,1995-01-01,1997-01-01,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Bob Menendez,Democratic,13th,New_Jersey,1993-01-01,2006-01-01,1993,2006,4748 days,13.008219178082191,104,1995,1997,2
Frank Pallone,Democratic,6th,New_Jersey,1993-01-01,2021-11-28,1993,2021,10558 days,28.926027397260274,104,1995,1997,2
Donald M. Payne,Democratic,10th,New_Jersey,1989-01-01,2012-01-01,1989,2012,8400 days,23.013698630136986,104,1995,1997,6
Marge Roukema,Republican,5th,New_Jersey,1983-01-01,2003-01-01,1983,2003,7305 days,20.013698630136986,104,1995,1997,12
Jim Saxton,Republican,3rd,New_Jersey,1993-01-01,2009-01-01,1993,2009,5844 days,16.01095890410959,104,1995,1997,2
Chris Smith,Republican,4th,New_Jersey,1981-01-01,2021-11-28,1981,2021,14941 days,40.93424657534246,104,1995,1997,14
Robert G. Torricelli,Democratic,9th,New_Jersey,1983-01-01,1997-01-01,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Richard Zimmer,Republican,12th,New_Jersey,1991-01-01,1997-01-01,1991,1997,2192 days,6.005479452054795,104,1995,1997,4
Bill Richardson,Democratic,3rd,New_Mexico,1983-01-03,1997-02-13,1983,1997,5155 days,14.123287671232877,104,1995,1997,12
Steven Schiff,Republican,1st,New_Mexico,1989-01-03,1998-03-25,1989,1998,3368 days,9.227397260273973,104,1995,1997,6
Joe Skeen,Republican,2nd,New_Mexico,1981-01-03,2003-01-03,1981,2003,8035 days,22.013698630136986,104,1995,1997,14
Gary Ackerman,Democratic,5th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Sherwood Boehlert,Republican,23rd,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Eliot Engel,Democratic,17th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Floyd Flake,Democratic,6th,New_York,1987-01-03,1997-11-17,1987,1997,3971 days,10.87945205479452,104,1995,1997,8
Michael Forbes,Republican,1st,New_York,1995-01-03,1999-07-17,1995,1999,1656 days,4.536986301369863,104,1995,1997,0
Dan Frisa,Republican,4th,New_York,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Benjamin Gilman,Republican,20th,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Maurice Hinchey,Democratic,26th,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Amo Houghton,Republican,31st,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Sue W. Kelly,Republican,19th,New_York,1995-01-03,2007-01-03,1995,2007,4383 days,12.008219178082191,104,1995,1997,0
Peter T. King,Republican,3rd,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
John J. LaFalce,Democratic,29th,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Rick Lazio,Republican,2nd,New_York,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Nita Lowey,Democratic,18th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Carolyn Maloney,Democratic,14th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Thomas J. Manton,Democratic,7th,New_York,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
John M. McHugh,Republican,24th,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Michael R. McNulty,Democratic,21st,New_York,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,104,1995,1997,2
Susan Molinari,Republican,13th,New_York,1993-01-03,1997-08-02,1993,1997,1672 days,4.580821917808219,104,1995,1997,2
Jerrold Nadler,Democratic,8th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Major Owens,Democratic,11th,New_York,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,104,1995,1997,2
Bill Paxon,Republican,27th,New_York,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Jack Quinn,Republican,30th,New_York,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Charles B. Rangel,Democratic,15th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Chuck Schumer,Democratic,9th,New_York,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Jose Serrano,Democratic,16th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Louise Slaughter,Democratic,28th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Gerald B.H. Solomon,Republican,22nd,New_York,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Edolphus Towns,Democratic,10th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
Nydia Velazquez,Democratic,12th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,104,1995,1997,2
James T. Walsh,Republican,25th,New_York,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,104,1995,1997,2
Cass Ballenger,Republican,10th,North_Carolina,1986-11-04,2005-01-03,1986,2005,6635 days,18.17808219178082,104,1995,1997,9
Richard Burr,Republican,5th,North_Carolina,1995-01-03,2005-01-03,1995,2005,3653 days,10.008219178082191,104,1995,1997,0
Eva M. Clayton,Democratic,1st,North_Carolina,1992-11-03,2003-01-03,1992,2003,3713 days,10.172602739726027,104,1995,1997,3
Howard Coble,Republican,6th,North_Carolina,1985-01-03,2015-01-03,1985,2015,10957 days,30.019178082191782,104,1995,1997,10
David Funderburk,Republican,2nd,North_Carolina,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Bill Hefner,Democratic,8th,North_Carolina,1975-01-03,1999-01-03,1975,1999,8766 days,24.016438356164382,104,1995,1997,20
Fred Heineman,Republican,4th,North_Carolina,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Walter B. Jones Jr.,Republican,3rd,North_Carolina,1995-01-03,2019-02-10,1995,2019,8804 days,24.12054794520548,104,1995,1997,0
Sue Myrick,Republican,9th,North_Carolina,1995-01-03,2013-01-03,1995,2013,6575 days,18.013698630136986,104,1995,1997,0
Charlie Rose,Democratic,7th,North_Carolina,1973-01-03,1997-01-03,1973,1997,8766 days,24.016438356164382,104,1995,1997,22
Charles H. Taylor,Republican,11th,North_Carolina,1991-01-03,2007-01-03,1991,2007,5844 days,16.01095890410959,104,1995,1997,4
Mel Watt,Democratic,12th,North_Carolina,1993-01-03,2014-01-06,1993,2014,7673 days,21.02191780821918,104,1995,1997,2
Earl Pomeroy,Democratic,At-large,North_Dakota,1993-01-03,2011-01-03,1993,2011,6574 days,18.01095890410959,104,1995,1997,2
John Boehner,Republican,8th,Ohio,1991-01-03,2015-10-31,1991,2015,9067 days,24.84109589041096,104,1995,1997,4
Sherrod Brown,Democratic,13th,Ohio,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,104,1995,1997,2
Steve Chabot,Republican,1st,Ohio,1995-01-03,2009-01-03,1995,2009,5114 days,14.01095890410959,104,1995,1997,0
Frank Cremeans,Republican,6th,Ohio,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Paul Gillmor,Republican,5th,Ohio,1989-01-03,2007-09-05,1989,2007,6819 days,18.682191780821917,104,1995,1997,6
Tony P. Hall,Democratic,3rd,Ohio,1979-01-03,2002-09-09,1979,2002,8650 days,23.698630136986303,104,1995,1997,16
Dave Hobson,Republican,7th,Ohio,1991-01-03,2009-01-03,1991,2009,6575 days,18.013698630136986,104,1995,1997,4
Martin R. Hoke,Republican,10th,Ohio,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
Marcy Kaptur,Democratic,9th,Ohio,1983-01-03,2021-11-28,1983,2021,14209 days,38.92876712328767,104,1995,1997,12
John Kasich,Republican,12th,Ohio,1983-01-03,2001-01-03,1983,2001,6575 days,18.013698630136986,104,1995,1997,12
Steve LaTourette,Republican,19th,Ohio,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Bob Ney,Republican,18th,Ohio,1995-01-03,2006-11-03,1995,2006,4322 days,11.841095890410958,104,1995,1997,0
Mike Oxley,Republican,4th,Ohio,1981-06-25,2007-01-03,1981,2007,9323 days,25.542465753424658,104,1995,1997,14
Rob Portman,Republican,2nd,Ohio,1993-05-04,2005-04-29,1993,2005,4378 days,11.994520547945205,104,1995,1997,2
Deborah Pryce,Republican,15th,Ohio,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,104,1995,1997,2
Ralph Regula,Republican,16th,Ohio,1973-01-03,2009-01-03,1973,2009,13149 days,36.02465753424657,104,1995,1997,22
Thomas C. Sawyer,Democratic,14th,Ohio,1987-01-03,2003-01-03,1987,2003,5844 days,16.01095890410959,104,1995,1997,8
Louis Stokes,Democratic,11th,Ohio,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
James Traficant,Democratic,17th,Ohio,1985-01-03,2002-07-24,1985,2002,6411 days,17.564383561643837,104,1995,1997,10
William K. Brewster,Democratic,3rd,Oklahoma,1991-01-03,1997-01-03,1991,1997,2192 days,6.005479452054795,104,1995,1997,4
Tom Coburn,Republican,2nd,Oklahoma,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,104,1995,1997,0
Ernest Istook,Republican,5th,Oklahoma,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,104,1995,1997,2
Steve Largent,Republican,1st,Oklahoma,1994-11-29,2002-02-15,1994,2002,2635 days,7.219178082191781,104,1995,1997,1
Frank Lucas,Republican,6th,Oklahoma,1994-05-10,2003-01-03,1994,2003,3160 days,8.657534246575343,104,1995,1997,1
J. C. Watts,Republican,4th,Oklahoma,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Jim Bunn,Republican,5th,Oregon,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Wes Cooley,Republican,2nd,Oregon,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Peter DeFazio,Democratic,4th,Oregon,1987-01-03,2021-11-28,1987,2021,12748 days,34.92602739726028,104,1995,1997,8
Elizabeth Furse,Democratic,1st,Oregon,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Robert A. Borski Jr.,Democratic,3rd,Pennsylvania,1983-01-03,2003-01-03,1983,2003,7305 days,20.013698630136986,104,1995,1997,12
William F. Clinger Jr.,Republican,5th,Pennsylvania,1993-01-03,1997-01-03,1993,1997,1461 days,4.002739726027397,104,1995,1997,2
William J. Coyne,Democratic,14th,Pennsylvania,1981-01-03,2003-01-03,1981,2003,8035 days,22.013698630136986,104,1995,1997,14
Michael F. Doyle,Democratic,18th,Pennsylvania,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Phil English,Republican,21st,Pennsylvania,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Chaka Fattah,Democratic,2nd,Pennsylvania,1995-01-03,2016-06-23,1995,2016,7842 days,21.484931506849314,104,1995,1997,0
Thomas M. Foglietta,Democratic,1st,Pennsylvania,1981-01-03,1997-11-11,1981,1997,6156 days,16.865753424657534,104,1995,1997,14
Jon D. Fox,Republican,13th,Pennsylvania,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,104,1995,1997,0
George Gekas,Republican,17th,Pennsylvania,1983-01-03,2003-01-03,1983,2003,7305 days,20.013698630136986,104,1995,1997,12
