state,district,totalHouseholds,prcntBA,prcntHS,prcntAsian,prcntBlack,prcntHisp,prcntWhiteAll,lastName,firstName,middleName,age,gender,numberTerms,daysServed,fracServed,cd,statenm,dwnom1,dwnom2,black,hispanic,numSpon,numCosp,numPassH,numEnact,passPrcnt,congNum,partyControl
CA,9.0,154259.0,9.004218342,56.6915463,0.232166102,0.163593208,17.67060258,6.495801658,Stark,Fortney,H.,49.0,M,5.0,717.0,1.0,9.0, CALIFOR,-0.583999991,-0.600000024,0.0,0.0,53.0,218.0,2.0,1.0,1.886792453,97.0,D
CO,4.0,154442.0,12.80569162,62.03860901,0.114898168,0.037902571,8.015854343,16.80819648,Brown,George,Hanks,40.0,M,1.0,717.0,1.0,4.0, COLORAD,0.476000011,-0.769999981,0.0,0.0,12.0,81.0,0.0,0.0,0.0,97.0,D
CO,3.0,154781.0,8.715057236,53.88407435,0.087086477,0.20675906,19.07027545,9.039369174,Kogovsek,Raymond,Peter,39.0,M,2.0,717.0,1.0,3.0, COLORAD,-0.308999985,0.044,0.0,0.0,15.0,282.0,0.0,0.0,0.0,97.0,D
CO,2.0,150022.0,19.17233403,69.95171724,0.120588369,0.070098956,7.322957039,17.90896218,Wirth,Timothy,E.,41.0,M,4.0,717.0,1.0,2.0, COLORAD,-0.282000005,-0.333000004,0.0,0.0,18.0,130.0,7.0,3.0,16.66666667,97.0,D
CO,5.0,146665.0,16.25794649,69.39354087,0.133872741,0.281233237,6.158401586,16.61641286,Kramer,Kenneth,Bentley,38.0,M,2.0,717.0,1.0,5.0, COLORAD,0.382999986,-0.07,0.0,0.0,8.0,138.0,0.0,0.0,0.0,97.0,D
CO,1.0,185790.0,17.41652014,64.335866,0.169505704,1.513118075,10.48947567,12.76315293,Schroeder,Patricia,Scott,40.0,F,5.0,717.0,1.0,1.0, COLORAD,-0.211999997,-0.93900001,0.0,0.0,19.0,142.0,1.0,1.0,5.263157895,97.0,D
CT,5.0,157912.0,13.61385172,56.07290827,0.08921633,1.694927636,1.816289213,44.32919273,Ratchford,William,Richard,46.0,M,2.0,717.0,1.0,5.0, CONNECT,-0.358999997,-0.228,0.0,0.0,5.0,182.0,0.0,0.0,0.0,97.0,D
CT,1.0,177747.0,13.61989958,56.75236515,0.098892946,4.54934017,2.944097757,39.85685665,Cotter,William,Ross,54.0,M,6.0,717.0,1.0,,,,,0.0,0.0,5.0,18.0,0.0,0.0,0.0,97.0,D
CT,4.0,173908.0,17.21473013,57.19086091,0.071341544,2.497501305,4.335273841,22.52288377,McKinney,Stewart,Brett,49.0,M,6.0,717.0,1.0,4.0, CONNECT,-0.064999998,-0.605000019,0.0,0.0,10.0,220.0,1.0,1.0,10.0,97.0,D
CT,1.0,177747.0,13.61989958,56.75236515,0.098892946,4.54934017,2.944097757,39.85685665,Kennelly,Barbara,Bailey,44.0,F,1.0,717.0,1.0,1.0, CONNECT,-0.349999994,-0.101999998,0.0,0.0,4.0,70.0,0.0,0.0,0.0,97.0,D
CT,6.0,160293.0,12.33783045,55.59251215,0.086737062,0.829262419,1.415705745,58.119793,Moffett,Anthony,John,36.0,M,4.0,717.0,1.0,6.0, CONNECT,-0.381999999,-0.787,0.0,0.0,9.0,170.0,0.0,0.0,0.0,97.0,D
CT,3.0,173512.0,13.32174183,56.84993957,0.142770952,5.010403334,1.554345696,51.73450918,DeNardis,Lawrence,Joseph,42.0,M,1.0,717.0,1.0,3.0, CONNECT,-0.045000002,-0.602999985,0.0,0.0,2.0,141.0,0.0,0.0,0.0,97.0,D
CT,2.0,176115.0,11.68160201,53.68811377,0.279752433,1.485426009,0.953524579,63.46337645,Gejdenson,Sam, ,32.0,M,1.0,717.0,1.0,2.0, CONNECT,-0.347000003,-0.958999991,0.0,0.0,8.0,139.0,3.0,2.0,25.0,97.0,D
DC,0.0,324215.0,17.78343509,55.15434309,0.470493636,44.65453108,1.997065472,17.51708281,Fauntroy,Walter,Edward,47.0,M,6.0,717.0,1.0,,,,,1.0,0.0,21.0,264.0,3.0,0.0,0.0,97.0,D
DE,0.0,183651.0,13.09347762,54.60498617,0.241310971,9.903488259,1.546604294,59.02215938,Evans,Thomas,Beverley,49.0,M,3.0,717.0,1.0,1.0, DELAWAR,0.115000002,-0.379999995,0.0,0.0,2.0,101.0,1.0,0.0,0.0,97.0,D
FL,12.0,168784.0,9.908076676,56.12233362,0.142568451,5.479501767,2.069515046,41.32991999,Shaw,E.,Clay,41.0,M,1.0,717.0,1.0,12.0, FLORIDA,0.244000003,0.119000003,0.0,0.0,5.0,88.0,0.0,0.0,0.0,97.0,D
FL,13.0,157494.0,7.886698972,50.81269277,0.029319958,2.374054252,12.03466301,10.59778508,Lehman,William, ,67.0,M,5.0,717.0,1.0,13.0, FLORIDA,-0.460000008,0.046,0.0,0.0,15.0,229.0,1.0,1.0,6.666666667,97.0,D
FL,14.0,177896.0,9.624373789,46.61795575,0.018278358,1.007822226,39.76048407,5.612763583,Pepper,Claude,Denson,80.0,M,10.0,717.0,1.0,14.0, FLORIDA,-0.398000002,0.476999998,0.0,0.0,27.0,407.0,1.0,0.0,0.0,97.0,D
FL,10.0,167318.0,9.874816322,52.14267548,0.144679955,6.631253209,1.8483023,41.33477624,Bafalis,Louis,Arthur,51.0,M,5.0,717.0,1.0,10.0, FLORIDA,0.25,0.150000006,0.0,0.0,15.0,215.0,0.0,0.0,0.0,97.0,D
FL,11.0,173319.0,11.2622504,55.17411811,0.059630764,6.965717588,3.26049937,32.71653311,Mica,Daniel,Andrew,36.0,M,2.0,717.0,1.0,11.0, FLORIDA,-0.158000007,0.404000014,0.0,0.0,17.0,76.0,1.0,1.0,5.882352941,97.0,D
FL,1.0,153292.0,9.502891008,52.11977161,0.414288503,9.343741746,1.073886009,55.16884482,Hutto,Earl,Dewitt,54.0,M,2.0,717.0,1.0,1.0, FLORIDA,-0.07,0.85799998,0.0,0.0,6.0,155.0,1.0,1.0,16.66666667,97.0,D
FL,2.0,158483.0,13.04511194,46.00031312,0.141907922,23.4148072,1.364239903,60.02058404,Fuqua,Don, ,47.0,M,10.0,717.0,1.0,2.0, FLORIDA,-0.197999999,0.686999977,0.0,0.0,53.0,130.0,7.0,1.0,1.886792453,97.0,D
FL,3.0,161686.0,7.734334835,48.23764171,0.304017983,16.53301489,1.59680771,46.74445069,Bennett,Charles,Edward,70.0,M,17.0,717.0,1.0,3.0, FLORIDA,-0.079999998,0.273000002,0.0,0.0,66.0,150.0,2.0,1.0,1.515151515,97.0,D
FL,4.0,164067.0,10.07751643,54.36257932,0.132063074,11.26523851,1.002043904,61.5591515,Chappell,William,Venroe,58.0,M,7.0,717.0,1.0,4.0, FLORIDA,-0.090000004,0.921999991,0.0,0.0,36.0,188.0,1.0,1.0,2.777777778,97.0,D
FL,8.0,168089.0,10.03047815,50.63304967,0.078266664,7.362237157,1.312597393,45.63158025,Ireland,Andrew,Poysell,50.0,M,3.0,717.0,1.0,8.0, FLORIDA,0.005,0.451999992,0.0,0.0,2.0,140.0,0.0,0.0,0.0,97.0,D
